2017-03-08 15:50:21.321  INFO 24928 --- [main] .MicroserviceGraphBuilderServiceImplTest : Starting MicroserviceGraphBuilderServiceImplTest with PID 24928 (started by bernie in /home/bernie/project/mgp-all/mgpback)
2017-03-08 15:50:21.322  INFO 24928 --- [main] .MicroserviceGraphBuilderServiceImplTest : The following profiles are active: log
2017-03-08 15:50:21.353  INFO 24928 --- [main] ationConfigEmbeddedWebApplicationContext : Refreshing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@7dfb0c0f: startup date [Wed Mar 08 15:50:21 CST 2017]; root of context hierarchy
2017-03-08 15:50:21.975  INFO 24928 --- [main] .s.d.r.c.RepositoryConfigurationDelegate : Multiple Spring Data modules found, entering strict repository configuration mode!
2017-03-08 15:50:22.025  INFO 24928 --- [main] .s.d.r.c.RepositoryConfigurationDelegate : Multiple Spring Data modules found, entering strict repository configuration mode!
2017-03-08 15:50:23.020  INFO 24928 --- [main] s.b.c.e.t.TomcatEmbeddedServletContainer : Tomcat initialized with port(s): 0 (http)
2017-03-08 15:50:25.154  WARN 24928 --- [main] o.s.d.n.mapping.Neo4jPersistentProperty  : No identity field found for class of type: soselab.mpg.graph.service.handler.ScenarioBuildHandler when creating persistent property for field: soselab.mpg.bdd.service.BDDService soselab.mpg.graph.service.handler.ScenarioBuildHandler.bddService
2017-03-08 15:50:25.154  WARN 24928 --- [main] o.s.d.n.mapping.Neo4jPersistentProperty  : No identity field found for class of type: soselab.mpg.graph.service.handler.ScenarioBuildHandler when creating persistent property for field: soselab.mpg.graph.repository.EndpointNodeRepository soselab.mpg.graph.service.handler.ScenarioBuildHandler.endpointNodeRepository
2017-03-08 15:50:25.154  WARN 24928 --- [main] o.s.d.n.mapping.Neo4jPersistentProperty  : No identity field found for class of type: soselab.mpg.graph.service.handler.ScenarioBuildHandler when creating persistent property for field: soselab.mpg.graph.repository.ScenarioNodeRepository soselab.mpg.graph.service.handler.ScenarioBuildHandler.scenarioNodeRepository
2017-03-08 15:50:25.156  WARN 24928 --- [main] o.s.d.n.mapping.Neo4jPersistentProperty  : No identity field found for class of type: soselab.mpg.regression.model.ConsumerProviderPair when creating persistent property for field: private java.lang.String soselab.mpg.regression.model.ConsumerProviderPair.provider
2017-03-08 15:50:25.156  WARN 24928 --- [main] o.s.d.n.mapping.Neo4jPersistentProperty  : No identity field found for class of type: soselab.mpg.regression.model.ConsumerProviderPair when creating persistent property for field: private java.lang.String soselab.mpg.regression.model.ConsumerProviderPair.consumer
2017-03-08 15:50:25.158  WARN 24928 --- [main] o.s.d.n.mapping.Neo4jPersistentProperty  : No identity field found for class of type: soselab.mpg.testreader.model.ServiceTestDetail$ExecutionBean$InteractionsBean$InteractionBean$ResponseBean$BodyBean when creating persistent property for field: private java.lang.String soselab.mpg.testreader.model.ServiceTestDetail$ExecutionBean$InteractionsBean$InteractionBean$ResponseBean$BodyBean.value
2017-03-08 15:50:25.158  WARN 24928 --- [main] o.s.d.n.mapping.Neo4jPersistentProperty  : No identity field found for class of type: soselab.mpg.testreader.model.ServiceTestDetail$ExecutionBean$InteractionsBean$InteractionBean$ResponseBean$BodyBean when creating persistent property for field: private boolean soselab.mpg.testreader.model.ServiceTestDetail$ExecutionBean$InteractionsBean$InteractionBean$ResponseBean$BodyBean.missing
2017-03-08 15:50:25.158  WARN 24928 --- [main] o.s.d.n.mapping.Neo4jPersistentProperty  : No identity field found for class of type: soselab.mpg.testreader.model.ServiceTestDetail$ExecutionBean$InteractionsBean$InteractionBean$ResponseBean$BodyBean when creating persistent property for field: private boolean soselab.mpg.testreader.model.ServiceTestDetail$ExecutionBean$InteractionsBean$InteractionBean$ResponseBean$BodyBean.present
2017-03-08 15:50:25.158  WARN 24928 --- [main] o.s.d.n.mapping.Neo4jPersistentProperty  : No identity field found for class of type: soselab.mpg.testreader.model.ServiceTestDetail$ExecutionBean$InteractionsBean$InteractionBean$ResponseBean$BodyBean when creating persistent property for field: private java.lang.String soselab.mpg.testreader.model.ServiceTestDetail$ExecutionBean$InteractionsBean$InteractionBean$ResponseBean$BodyBean.state
2017-03-08 15:50:25.158  WARN 24928 --- [main] o.s.d.n.mapping.Neo4jPersistentProperty  : No identity field found for class of type: soselab.mpg.testreader.model.ServiceTestDetail$ExecutionBean$InteractionsBean$InteractionBean$ResponseBean$BodyBean when creating persistent property for field: private boolean soselab.mpg.testreader.model.ServiceTestDetail$ExecutionBean$InteractionsBean$InteractionBean$ResponseBean$BodyBean.empty
2017-03-08 15:50:25.161  WARN 24928 --- [main] o.s.d.n.mapping.Neo4jPersistentProperty  : No identity field found for class of type: soselab.mpg.pact.client.NoPactFileFoundException when creating persistent property for field: private java.lang.String java.lang.Throwable.detailMessage
2017-03-08 15:50:25.162  WARN 24928 --- [main] o.s.d.n.mapping.Neo4jPersistentProperty  : No identity field found for class of type: soselab.mpg.pact.client.NoPactFileFoundException when creating persistent property for field: private java.lang.Throwable java.lang.Throwable.cause
2017-03-08 15:50:25.163  WARN 24928 --- [main] o.s.d.n.mapping.Neo4jPersistentProperty  : No identity field found for class of type: java.lang.Throwable when creating persistent property for field: private java.lang.String java.lang.Throwable.detailMessage
2017-03-08 15:50:25.164  WARN 24928 --- [main] o.s.d.n.mapping.Neo4jPersistentProperty  : No identity field found for class of type: java.lang.Throwable when creating persistent property for field: private java.lang.Throwable java.lang.Throwable.cause
2017-03-08 15:50:25.164  INFO 24928 --- [main] o.s.d.neo4j.mapping.Neo4jMappingContext  : No class information found in OGM meta-data for class java.lang.StackTraceElement so treating as simple type for SD Commons
2017-03-08 15:50:25.164  WARN 24928 --- [main] o.s.d.n.mapping.Neo4jPersistentProperty  : No identity field found for class of type: java.lang.Throwable when creating persistent property for field: private java.lang.StackTraceElement[] java.lang.Throwable.stackTrace
2017-03-08 15:50:25.164  WARN 24928 --- [main] o.s.d.n.mapping.Neo4jPersistentProperty  : No identity field found for class of type: java.lang.Throwable when creating persistent property for field: private java.util.List java.lang.Throwable.suppressedExceptions
2017-03-08 15:50:25.164  WARN 24928 --- [main] o.s.d.n.mapping.Neo4jPersistentProperty  : No identity field found for class of type: java.lang.Throwable when creating persistent property for field: null
2017-03-08 15:50:25.165  WARN 24928 --- [main] o.s.d.n.mapping.Neo4jPersistentProperty  : No identity field found for class of type: java.lang.Throwable when creating persistent property for field: null
2017-03-08 15:50:25.165  WARN 24928 --- [main] o.s.d.n.mapping.Neo4jPersistentProperty  : No identity field found for class of type: java.lang.Throwable when creating persistent property for field: null
2017-03-08 15:50:25.165  WARN 24928 --- [main] o.s.d.n.mapping.Neo4jPersistentProperty  : No identity field found for class of type: soselab.mpg.pact.client.NoPactFileFoundException when creating persistent property for field: private java.lang.StackTraceElement[] java.lang.Throwable.stackTrace
2017-03-08 15:50:25.165  WARN 24928 --- [main] o.s.d.n.mapping.Neo4jPersistentProperty  : No identity field found for class of type: soselab.mpg.pact.client.NoPactFileFoundException when creating persistent property for field: private java.util.List java.lang.Throwable.suppressedExceptions
2017-03-08 15:50:25.165  WARN 24928 --- [main] o.s.d.n.mapping.Neo4jPersistentProperty  : No identity field found for class of type: soselab.mpg.pact.client.NoPactFileFoundException when creating persistent property for field: null
2017-03-08 15:50:25.165  WARN 24928 --- [main] o.s.d.n.mapping.Neo4jPersistentProperty  : No identity field found for class of type: soselab.mpg.pact.client.NoPactFileFoundException when creating persistent property for field: null
2017-03-08 15:50:25.165  WARN 24928 --- [main] o.s.d.n.mapping.Neo4jPersistentProperty  : No identity field found for class of type: soselab.mpg.pact.client.NoPactFileFoundException when creating persistent property for field: null
2017-03-08 15:50:25.167  WARN 24928 --- [main] o.s.d.n.mapping.Neo4jPersistentProperty  : No identity field found for class of type: soselab.mpg.bdd.service.NoBDDProjectGitSettingException when creating persistent property for field: private java.lang.String java.lang.Throwable.detailMessage
2017-03-08 15:50:25.167  WARN 24928 --- [main] o.s.d.n.mapping.Neo4jPersistentProperty  : No identity field found for class of type: soselab.mpg.bdd.service.NoBDDProjectGitSettingException when creating persistent property for field: private java.lang.Throwable java.lang.Throwable.cause
2017-03-08 15:50:25.167  WARN 24928 --- [main] o.s.d.n.mapping.Neo4jPersistentProperty  : No identity field found for class of type: soselab.mpg.bdd.service.NoBDDProjectGitSettingException when creating persistent property for field: private java.lang.StackTraceElement[] java.lang.Throwable.stackTrace
2017-03-08 15:50:25.167  WARN 24928 --- [main] o.s.d.n.mapping.Neo4jPersistentProperty  : No identity field found for class of type: soselab.mpg.bdd.service.NoBDDProjectGitSettingException when creating persistent property for field: private java.util.List java.lang.Throwable.suppressedExceptions
2017-03-08 15:50:25.167  WARN 24928 --- [main] o.s.d.n.mapping.Neo4jPersistentProperty  : No identity field found for class of type: soselab.mpg.bdd.service.NoBDDProjectGitSettingException when creating persistent property for field: null
2017-03-08 15:50:25.167  WARN 24928 --- [main] o.s.d.n.mapping.Neo4jPersistentProperty  : No identity field found for class of type: soselab.mpg.bdd.service.NoBDDProjectGitSettingException when creating persistent property for field: null
2017-03-08 15:50:25.168  WARN 24928 --- [main] o.s.d.n.mapping.Neo4jPersistentProperty  : No identity field found for class of type: soselab.mpg.bdd.service.NoBDDProjectGitSettingException when creating persistent property for field: null
2017-03-08 15:50:25.169  WARN 24928 --- [main] o.s.d.n.mapping.Neo4jPersistentProperty  : No identity field found for class of type: soselab.mpg.testreader.model.ServiceTestDetail$ExecutionBean$InteractionsBean$InteractionBean$RequestBean when creating persistent property for field: private java.lang.Object soselab.mpg.testreader.model.ServiceTestDetail$ExecutionBean$InteractionsBean$InteractionBean$RequestBean.query
